Date,Open,High,Low,Close,Adj Close,Volume,Ticker
02/02/2022,144.190002,144.589996,141.380005,142.619995,142.619995,9529900,DIS
03/02/2022,140,142.039993,139.25,140.029999,140.029999,9820600,DIS
04/02/2022,140.039993,143.190002,139.529999,142.020004,142.020004,8061100,DIS
07/02/2022,143.389999,144.089996,141.610001,142.509995,142.509995,10937500,DIS
08/02/2022,141.789993,142.889999,140.740005,142.479996,142.479996,9231700,DIS
09/02/2022,144.369995,147.350006,143.25,147.229996,147.229996,22877400,DIS
10/02/2022,156.020004,157.5,151.110001,152.160004,152.160004,42500300,DIS
11/02/2022,153.539993,154.690002,148.559998,149.470001,149.470001,17975200,DIS
14/02/2022,149.369995,153.729996,149.210007,150.850006,150.850006,14694700,DIS
15/02/2022,153.539993,154.850006,152.509995,154.720001,154.720001,12726000,DIS
16/02/2022,154.979996,156.729996,153.75,156.350006,156.350006,10656400,DIS
17/02/2022,154.690002,155.360001,152.610001,152.949997,152.949997,8110300,DIS
18/02/2022,152.910004,153.679993,150.050003,151.360001,151.360001,10785500,DIS
22/02/2022,150.190002,150.789993,147.610001,148.089996,148.089996,12227200,DIS
23/02/2022,149.5,149.740005,145.5,145.869995,145.869995,9300700,DIS
24/02/2022,140,149.570007,140,149.399994,149.399994,12475500,DIS
25/02/2022,149.559998,150.279999,147.220001,149.529999,149.529999,10149500,DIS
28/02/2022,147.830002,149.479996,146.460007,148.460007,148.460007,10834700,DIS
01/03/2022,147.860001,148.149994,143.779999,145.699997,145.699997,8944000,DIS
02/03/2022,146.309998,148.470001,145.919998,147.339996,147.339996,7851000,DIS
03/03/2022,147.309998,148.649994,144.449997,145.570007,145.570007,8048400,DIS
04/03/2022,144.009995,144.259995,139.550003,140.720001,140.720001,12913000,DIS
07/03/2022,140.279999,140.889999,133.440002,133.5,133.5,14549700,DIS
08/03/2022,133.020004,135.490005,129.289993,131.75,131.75,16552000,DIS
09/03/2022,135.490005,135.5,133.360001,133.649994,133.649994,14673100,DIS
10/03/2022,132.360001,134.199997,131.619995,133.639999,133.639999,8447200,DIS
11/03/2022,135.080002,136.160004,131.570007,131.75,131.75,7058400,DIS
14/03/2022,130.979996,133.070007,128.380005,129.029999,129.029999,9971500,DIS
15/03/2022,129.740005,134.559998,129.509995,134.199997,134.199997,9834800,DIS
16/03/2022,135.649994,138.979996,134.940002,138.139999,138.139999,10638700,DIS
17/03/2022,137.440002,139.470001,136.559998,139.470001,139.470001,6816000,DIS
18/03/2022,139.550003,140.729996,138.300003,140.300003,140.300003,11308800,DIS
21/03/2022,138.899994,139.300003,136.880005,138.619995,138.619995,9090300,DIS
22/03/2022,139.059998,142.190002,138.899994,140.110001,140.110001,8511600,DIS
23/03/2022,139.070007,139.759995,137.539993,137.639999,137.639999,8761300,DIS
24/03/2022,138.580002,139.270004,137.410004,138.960007,138.960007,5858800,DIS
25/03/2022,139.279999,140.380005,138.119995,139.139999,139.139999,5949400,DIS
28/03/2022,138.880005,139.630005,136.279999,138.720001,138.720001,8456100,DIS
29/03/2022,140.960007,144.460007,140.960007,142.380005,142.380005,11280700,DIS
30/03/2022,141.309998,143.270004,140.080002,140.960007,140.960007,7922400,DIS
31/03/2022,140.139999,140.880005,137.110001,137.160004,137.160004,12306500,DIS
01/04/2022,137.339996,138.100006,135.529999,137,137,10341000,DIS
04/04/2022,136.970001,139.259995,136.889999,138.580002,138.580002,8174600,DIS
05/04/2022,137.740005,139.199997,135.130005,135.619995,135.619995,8694100,DIS
06/04/2022,133.75,133.929993,130.809998,132.570007,132.570007,11679700,DIS
07/04/2022,133.009995,133.210007,130.020004,131.869995,131.869995,9858700,DIS
08/04/2022,132,133.119995,130.630005,131.869995,131.869995,6702000,DIS
11/04/2022,130.039993,132.429993,130.039993,130.649994,130.649994,9915300,DIS
12/04/2022,131.809998,133.210007,130.149994,130.839996,130.839996,7885600,DIS
13/04/2022,131.050003,132.889999,130.75,132.350006,132.350006,7694500,DIS
14/04/2022,132.809998,133.589996,130.350006,130.470001,130.470001,7283500,DIS
18/04/2022,130.070007,130.220001,126.82,127.769997,127.769997,10571000,DIS
19/04/2022,128.089996,133.190002,127.790001,131.899994,131.899994,12767200,DIS
20/04/2022,126.050003,127.349998,124.110001,124.57,124.57,36465700,DIS
21/04/2022,125.540001,126.449997,121.279999,121.660004,121.660004,18688600,DIS
